group_name	cd	name
access_site	101	股动脉
access_site	102	肱动脉
access_site	103	桡动脉
access_site	104	其他
admt_source	101	门诊
admt_source	102	急诊
admt_source	103	其他急救机构转入
admt_source	104	未住院
admt_source	105	其他
anginal_class	101	无症状
anginal_class	102	CCS I
anginal_class	103	CCS II
anginal_class	104	CCS III
anginal_class	105	CCS IV
antianginal_med_type	101	β-受体阻滞剂
antianginal_med_type	102	钙离子通道阻滞剂
antianginal_med_type	103	长效硝酸酯类药物
antianginal_med_type	104	雷诺嗪
antianginal_med_type	105	其他
associated_lesion	101	病变1
associated_lesion	102	病变2
associated_lesion	103	病变3
associated_lesion	104	病变4
associated_lesion	105	病变5
associated_lesion	106	病变6
associated_lesion	107	病变7
associated_lesion	108	病变8
associated_lesion	109	病变9
associated_lesion	110	病变10
associated_lesion	111	病变11
associated_lesion	112	病变12
associated_lesion	113	病变13
associated_lesion	114	病变14
associated_lesion	115	病变15
bleed_hem_sz	101	< 3cm
bleed_hem_sz	102	3-5 cm
bleed_hem_sz	103	5-10 cm
bleed_hem_sz	104	> 10cm
bleed_prior	101	出血性
bleed_prior	102	缺血性
boolean_value	101	是
boolean_value	102	否
cabg_indication	101	PCI并发症
cabg_indication	102	PCI失败，但无临床恶化
cabg_indication	103	冠心病，行CABG治疗前未行PCI治疗
cabg_indication	104	PCI/CABG杂交手术
cabg_location	101	本院
cabg_location	102	转到其他机构
cabg_status	101	择期
cabg_status	102	早期
cabg_status	103	急诊
cabg_status	104	抢救
cad_presentation	101	无症状性心肌缺血（14天）
cad_presentation	102	稳定型心绞痛（42天）
cad_presentation	103	不稳定型心绞痛（60天）
cad_presentation	104	Non-STEMI（7天）
cad_presentation	105	STEMI（7天）
cad_presentation	106	不典型胸痛（60天）
cad_presentation	107	可疑心绞痛
cad_presentation	108	计划的冠脉造影术
cardiac_cta_result	101	无疾病
cardiac_cta_result	102	1支血管病变
cardiac_cta_result	103	2支血管病变
cardiac_cta_result	104	3支血管病变
cardiac_cta_result	105	无法判断
cardiac_cta_result	106	未获得
cathpcifp_visit_cause	101	常规预约随访
cathpcifp_visit_cause	102	因冠心病相关症状就诊
cathpcifp_visit_cause	103	因其他心脏相关情况就诊
cathpcifp_visit_cause	104	因非心脏原因就诊
closure_method	101	加压包扎
closure_method	102	压迫器止血
closure_method	103	血管闭合装置-Angioseal
closure_method	104	血管闭合装置-Perclose
closure_method	105	血管闭合装置-Starclose
closure_method	106	其他血管闭合装置
closure_method	107	留置鞘管
contrast_type	101	优维显
contrast_type	102	欧乃派克
contrast_type	103	威视派克
contrast_type	104	典比乐
contrast_type	105	其他
culprit_lesion	101	否
culprit_lesion	102	是
