SERIAL_NO	TABLE_NAME	SECTION_LEVEL1	SECTION_LEVEL2	FIELD_OID	BUSINESS_NAME	FIELD_NAME	FIELD_LABEL	field_label_zh_cn	field_label_en	FORM_OID	DATA_TYPE	DICT_ITEM	DICT_TABLE	DESCRIPTION	VISIBILITY_CONDITION	RELATED_FIELD	IS_PREDEFINED	FIELD_COMPONENT_TYPE	FIELD_DATA_TYPE
16	CathPCI_Data_Dictionary	B.保险支付		112	到达日期/时间	Arrival_Dt	到达日期	到达日期	Arrival Date/Time	1	datetime						1	time	time
17	CathPCI_Data_Dictionary	B.保险支付		113	患者现住址	Current_Addr	患者现住址	患者现住址	Patient Zip Code	1	nvarchar(150)					current_addr	1	textfield	text
18	CathPCI_Data_Dictionary	B.保险支付		114	住址未知	If_Addr_Na	住址未知	住址未知	Zip Code N/A	1	bit					current_addr	1	checkbox	boolean
19	CathPCI_Data_Dictionary	B.保险支付		115	住院来源	Admt_Source_Cd	住院来源	住院来源	Admit Source	1	char(3)	admt_source	Dict_Candidate_Values				1	radio	list
20	CathPCI_Data_Dictionary	B.保险支付		116	支付方式	Pay_Method_Cd	支付方式	支付方式	Insurance Payors 	1	nvarchar(40)	pay_method	Dict_Candidate_Values				1	mult_checkbox	list
21	CathPCI_Data_Dictionary	B.保险支付		117	手术类别	Procedure_Type_Cd	手术类别	手术类别	Type Cd of Procedure	1	nvarchar(100)	procedure_type	Dict_Candidate_Values				1	mult_checkbox	list
23	CathPCI_Data_Dictionary	C.病史和风险因素		119	正在吸烟/近期吸烟史(<1年)	If_Smoker	正在吸烟/近期吸烟史(<1年)	正在吸烟/近期吸烟史(<1年)	Current/Recent Smoker (<1 year)	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
24	CathPCI_Data_Dictionary	C.病史和风险因素		120	高血压	If_Hypertension	高血压	高血压	Hypertension	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
25	CathPCI_Data_Dictionary	C.病史和风险因素		121	血脂异常	If_Dyslipidemia	血脂异常	血脂异常	Dyslipidemia	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
26	CathPCI_Data_Dictionary	C.病史和风险因素		122	肾功能衰竭	If_Kidney_Failure	肾功能衰竭	肾功能衰竭	Renal Failure	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
27	CathPCI_Data_Dictionary	C.病史和风险因素		123	冠心病家族史	If_Family_History_Chd	冠心病家族史	冠心病家族史	Family History of CAD	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
28	CathPCI_Data_Dictionary	C.病史和风险因素		124	早发冠心病家族史	If_Family_Hx_Cad	早发冠心病家族史	早发冠心病家族史	Family History of Premature CAD	2	char(3)	if_else_na	Dict_Candidate_Values		if_family_history_chd == 102		1	radio	list
29	CathPCI_Data_Dictionary	C.病史和风险因素		125	心肌梗死史	If_Prior_Mi	心肌梗死史	心肌梗死史	MI History	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
30	CathPCI_Data_Dictionary	C.病史和风险因素		126	心力衰竭史	If_Prior_Hf	心力衰竭史	心力衰竭史	Heart Failure History	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
31	CathPCI_Data_Dictionary	C.病史和风险因素		127	瓣膜手术史	If_Valve_Surgery	瓣膜手术史	瓣膜手术史	Prior Valve Surgery	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
32	CathPCI_Data_Dictionary	C.病史和风险因素		128	最近瓣膜手术日期	Valve_Surgery_Dt	最近瓣膜手术日期	最近瓣膜手术日期	Most Recent Surgery Date	2	datetime				if_valve_surgery == 102		1	date	date
33	CathPCI_Data_Dictionary	C.病史和风险因素		129	PCI	If_Prior_Pci	PCI史	PCI史	PCI History	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
34	CathPCI_Data_Dictionary	C.病史和风险因素		130	最近进行PCI治疗日期	Prior_Pci_Dt	最近进行PCI治疗日期	最近进行PCI治疗日期	Most Recent PCI Date	2	datetime				if_prior_pci == 102		1	date	date
35	CathPCI_Data_Dictionary	C.病史和风险因素		131	CABG	If_Prior_Cabg	CABG史	CABG史	CABG History	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
36	CathPCI_Data_Dictionary	C.病史和风险因素		132	最近进行CABG日期	Prior_Cabg_Dt	最近进行CABG日期	最近进行CABG日期	Most Recent CABG Date	2	datetime				if_prior_cabg == 102		1	date	date
37	CathPCI_Data_Dictionary	C.病史和风险因素		133	身高	Patient_Height_Cm	身高(cm)	身高(cm)	Height(cm)	2	decimal(6,2)						1	textfield	decimal
38	CathPCI_Data_Dictionary	C.病史和风险因素		134	体重	Patient_Weight_Kg	体重(kg)	体重(kg)	Weight(kg)	2	decimal(6,2)						1	textfield	decimal
39	CathPCI_Data_Dictionary	C.病史和风险因素		135	正在进行透析	If_Current_Dialysis	正在进行透析	正在进行透析	Currently on Dialysis	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
40	CathPCI_Data_Dictionary	C.病史和风险因素		136	脑血管病	If_Prior_Cvd	脑血管病	脑血管病	Cerebrovascular Disease	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
41	CathPCI_Data_Dictionary	C.病史和风险因素		137	出血性脑血管疾病	If_Bleed_Prior_Cvd	出血性脑血管疾病	出血性脑血管疾病	Hemorrhagic Cerebrovascular Disease	2	char(3)	if_else_na	Dict_Candidate_Values		if_prior_cvd == 102		1	radio	list
42	CathPCI_Data_Dictionary	C.病史和风险因素		138	外周血管疾病	If_Prior_Pad	外周血管疾病	外周血管疾病	Peripheral Arterial Disease	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
43	CathPCI_Data_Dictionary	C.病史和风险因素		139	慢性肺病	If_Prior_Cld	慢性肺病	慢性肺病	Chronic Lung Disease	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
44	CathPCI_Data_Dictionary	C.病史和风险因素		140	糖尿病	If_Diabetes	糖尿病	糖尿病	Diabetes Mellitus	2	char(3)	if_else_na	Dict_Candidate_Values				1	radio	list
